index,FurnitureType0ColorType0,FurnitureType0ColorType1,FurnitureType0ColorType2,FurnitureType0ColorType3,FurnitureType0ColorType4,FurnitureType0ColorType5,FurnitureType1ColorType0,FurnitureType1ColorType1,FurnitureType1ColorType2,FurnitureType1ColorType3,FurnitureType1ColorType4,FurnitureType1ColorType5,FurnitureType2ColorType0,FurnitureType2ColorType1,FurnitureType2ColorType2,FurnitureType2ColorType3,FurnitureType2ColorType4,FurnitureType2ColorType5,FurnitureType3ColorType0,FurnitureType3ColorType1,FurnitureType3ColorType2,FurnitureType3ColorType3,FurnitureType3ColorType4,FurnitureType3ColorType5,FurnitureType4ColorType0,FurnitureType4ColorType1,FurnitureType4ColorType2,FurnitureType4ColorType3,FurnitureType4ColorType4,FurnitureType4ColorType5,FurnitureType5ColorType0,FurnitureType5ColorType1,FurnitureType5ColorType2,FurnitureType5ColorType3,FurnitureType5ColorType4,FurnitureType5ColorType5,FurnitureType6ColorType0,FurnitureType6ColorType1,FurnitureType6ColorType2,FurnitureType6ColorType3,FurnitureType6ColorType4,FurnitureType6ColorType5
0,1,4,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
