,Bed/Yellow,Bed/Blue,Bed/Green,Bed/White,Bed/Red,Bed/Brown,BookShelf/0,BookShelf/1,BookShelf/2,BookShelf/3,BookShelf/4,BookShelf/5,BookShelf/6,BookShelf/7,BookShelf/8,BookShelf/9,Chair/Yellow,Chair/Blue,Chair/Green,Chair/White,Chair/Red,Chair/Brown,Chair/None,Desk/0,Desk/1,Desk/2,Desk/3,Desk/4,Desk/5,Desk/6,FlowerPot/0,FlowerPot/1,FlowerPot/2,FlowerPot/3,PhotoFrame/0,PhotoFrame/1,PhotoFrame/2,PhotoFrame/3,PhotoFrame/4,PhotoFrame/5,Sofa/Yellow,Sofa/Blue,Sofa/Green,Sofa/White,Sofa/Red,Sofa/Brown,Stand/Yellow,Stand/Blue,Stand/Green,Stand/White,Stand/Red,Stand/Brown
BookShelf/4,71.3987,50.7038,32.099599999999995,39.4149,-1.0,-1.0,-1.0,-1.0,36.3547,59.3555,-1.0,15.893500000000001,15.3157,7.923500000000001,13.9434,20.043,17.113200000000003,16.707,35.9041,25.670300000000005,17.9115,16.1286,-1.0,16.7771,29.9847,20.7471,47.308200000000014,27.0254,17.118600000000004,14.5714,17.1247,21.1468,54.820499999999996,43.818799999999996,12.2862,12.854099999999999,4.1233,14.613599999999998,79.11749999999999,48.019099999999995,72.608,33.2286,12.7743,55.13199999999999,-1.0,-1.0,74.71009999999998,33.5158,62.82530000000001,-1.0,-1.0,-1.0
BookShelf/5,59.6898,14.1114,14.7542,15.402299999999999,-1.0,-1.0,-1.0,-1.0,22.0437,40.061099999999996,15.893500000000001,-1.0,8.5095,0.14549999999999996,25.695999999999998,-1.0,12.9714,10.431999999999999,-1.0,19.0282,17.407999999999998,4.1399,-1.0,13.023200000000001,14.8557,11.8888,11.922699999999999,16.7771,20.385199999999998,4.8416,17.491500000000002,18.9016,13.270199999999999,31.2369,11.4997,13.3575,5.1843,8.2971,49.5144,38.6203,34.4858,12.425900000000002,7.9556000000000004,24.043800000000005,-1.0,-1.0,57.2459,14.2232,23.188,-1.0,-1.0,-1.0
BookShelf/6,38.9948,5.6984,13.2784,18.798000000000002,-1.0,-1.0,-1.0,-1.0,42.4975,45.442299999999996,15.3157,8.5095,-1.0,2.5608999999999997,10.0361,12.511600000000001,6.3708,2.6673,1.3369,11.7639,4.917,11.316500000000001,-1.0,17.8149,1.3194,17.9894,3.3703,13.026,20.041800000000002,2.3847,14.2487,9.6089,16.073999999999998,33.175,15.7229,6.629,-1.0,3.4196999999999997,29.095099999999995,42.627900000000004,32.3459,18.2161,6.8161000000000005,18.407,-1.0,-1.0,47.758599999999994,13.2065,21.7313,-1.0,-1.0,-1.0
BookShelf/7,15.4885,6.4895,13.5228,20.4446,-1.0,-1.0,-1.0,-1.0,4.2941,14.449599999999998,7.923500000000001,0.14549999999999996,2.5608999999999997,-1.0,7.1922999999999995,6.8992,1.5168,6.833600000000001,11.766,-1.0,-1.0,7.0327,-1.0,5.9049,5.8367,5.8723,7.48,11.265500000000001,5.5883,-1.0,7.3719,4.8867,16.932100000000002,10.4924,1.9914999999999998,8.9012,-1.0,0.8886000000000001,12.8185,21.823900000000002,27.859,1.5821999999999998,3.3022,14.6374,-1.0,-1.0,24.5909,-1.0,14.2774,-1.0,-1.0,-1.0
BookShelf/8,31.1084,26.7946,15.7627,12.7955,-1.0,-1.0,-1.0,-1.0,12.3614,22.3132,13.9434,25.695999999999998,10.0361,7.1922999999999995,-1.0,11.5722,8.1401,7.129300000000001,11.3993,7.77,12.462399999999999,7.108,-1.0,6.5456,11.3996,15.406799999999999,9.9823,16.4573,8.6752,-1.0,10.3253,4.2215,22.502200000000002,22.724599999999995,10.300999999999998,12.2481,0.09200000000000008,1.0055999999999998,35.4225,22.432100000000002,24.205199999999998,9.1518,3.6903,17.5818,-1.0,-1.0,34.88440000000001,21.6295,22.4166,-1.0,-1.0,-1.0
BookShelf/9,5.1322,10.835700000000001,17.8453,3.6830999999999996,-1.0,-1.0,-1.0,-1.0,12.5406,4.7744,20.043,-1.0,12.511600000000001,6.8992,11.5722,-1.0,-1.0,7.762600000000001,23.685499999999998,6.2152,-1.0,6.8639,-1.0,2.7143,8.718399999999999,7.795,3.8045999999999998,6.2327,5.5088,-1.0,2.8666,-1.0,19.0834,14.328300000000002,7.3043,0.2507999999999999,-1.0,-1.0,12.0334,13.253499999999999,6.0235,4.8627,9.4754,12.102,-1.0,-1.0,28.5641,2.7049,13.268999999999998,-1.0,-1.0,-1.0
Chair/Yellow,26.6096,28.4499,27.746699999999997,12.666400000000001,-1.0,-1.0,-1.0,-1.0,16.557,26.187800000000003,17.113200000000003,12.9714,6.3708,1.5168,8.1401,-1.0,-1.0,9.3203,0.026899999999999924,7.096500000000001,-0.06379999999999997,3.6363000000000003,-1.0,2.0005,11.4095,8.9389,13.349499999999999,1.1122,5.2601,4.9887,17.8681,9.9981,18.3406,21.6102,-1.0,12.0037,6.620699999999999,15.1147,39.6265,14.1138,38.2342,19.9979,1.0503999999999998,21.5913,-1.0,-1.0,39.4487,2.1935,29.799799999999998,-1.0,-1.0,-1.0
Chair/Blue,26.3524,13.859300000000001,31.276099999999996,19.3624,-1.0,-1.0,-1.0,-1.0,27.7678,27.026999999999997,16.707,10.431999999999999,2.6673,6.833600000000001,7.129300000000001,7.762600000000001,9.3203,-1.0,2.5126,-1.0,2.8137,5.0194,-1.0,3.0233,12.174299999999999,11.8368,16.5449,2.8189,9.017999999999999,5.5466,25.1046,4.2526,22.4155,28.775100000000002,4.3917,13.762199999999998,-1.0,18.1035,27.4146,26.2897,27.8807,30.522400000000005,6.1136,24.567600000000002,-1.0,-1.0,43.255100000000006,-1.0,25.1454,-1.0,-1.0,-1.0
Chair/Green,24.6284,24.5507,22.441200000000002,21.2059,-1.0,-1.0,-1.0,-1.0,28.6086,32.3702,35.9041,-1.0,1.3369,11.766,11.3993,23.685499999999998,0.026899999999999924,2.5126,-1.0,12.6658,0.6217999999999999,6.555199999999999,-1.0,5.0509,10.616,21.7826,21.456100000000003,-0.4033,1.1263,-0.41679999999999995,7.7077,1.9788000000000001,38.40400000000001,22.8778,11.9022,7.6103,3.0757000000000003,1.8748999999999998,38.6317,39.01709999999999,30.6436,13.1045,6.3849,34.134800000000006,-1.0,-1.0,39.4085,14.1459,30.898599999999995,-1.0,-1.0,-1.0
Chair/White,11.2516,14.9328,11.4916,15.373499999999998,-1.0,-1.0,-1.0,-1.0,13.3569,21.0006,25.670300000000005,19.0282,11.7639,-1.0,7.77,6.2152,7.096500000000001,-1.0,12.6658,-1.0,1.8120999999999998,10.0365,-1.0,8.658999999999999,7.6066,4.6589,9.5476,4.0372,7.584800000000001,-0.08040000000000003,-1.0,6.3284,41.449,10.118500000000001,6.7997,11.2838,2.6477,6.5105,24.377599999999997,18.2092,14.948200000000002,4.2115,9.7026,11.1546,-1.0,-1.0,16.025199999999998,11.543,22.418200000000002,-1.0,-1.0,-1.0
Chair/Red,25.3967,6.3536,9.3584,-1.0,-1.0,-1.0,-1.0,-1.0,6.4977,24.4585,17.9115,17.407999999999998,4.917,-1.0,12.462399999999999,-1.0,-0.06379999999999997,2.8137,0.6217999999999999,1.8120999999999998,-1.0,0.7,-1.0,-1.0,1.9091999999999998,-1.0,6.773,6.9569,1.2997,-1.0,-1.0,8.6584,13.304000000000002,14.002100000000002,12.1238,-1.0,3.2424999999999997,1.9137,21.9834,10.824,5.8466000000000005,-1.0,7.2928999999999995,8.5161,-1.0,-1.0,19.560499999999998,13.4778,10.5069,-1.0,-1.0,-1.0
Chair/Brown,18.6705,14.369800000000001,7.6467,21.884,-1.0,-1.0,-1.0,-1.0,29.9931,35.0563,16.1286,4.1399,11.316500000000001,7.0327,7.108,6.8639,3.6363000000000003,5.0194,6.555199999999999,10.0365,0.7,-1.0,-1.0,13.9658,3.2952000000000004,6.4052,5.1518,4.462899999999999,10.7114,7.5656,13.7182,13.9632,12.039099999999998,8.7834,12.9992,14.248,-1.0,6.1784,21.5853,36.317099999999996,26.8295,17.146800000000002,5.954,3.9409,-1.0,-1.0,38.6462,12.3412,13.3904,-1.0,-1.0,-1.0
Chair/None,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Desk/0,13.3796,11.298,5.1733,13.562100000000001,-1.0,-1.0,-1.0,-1.0,12.904399999999999,11.836400000000001,16.7771,13.023200000000001,17.8149,5.9049,6.5456,2.7143,2.0005,3.0233,5.0509,8.658999999999999,-1.0,13.9658,-1.0,-1.0,-1.0,13.1669,6.6111,14.6973,5.1446,4.665,9.6367,9.8626,5.6416,14.5463,19.3232,15.0083,-1.0,6.4314,11.3753,20.8446,13.6354,10.4111,-1.0,8.02,-1.0,-1.0,28.236,10.56,12.468699999999998,-1.0,-1.0,-1.0
Desk/1,14.5763,27.774300000000004,27.498900000000003,18.8006,-1.0,-1.0,-1.0,-1.0,21.947499999999998,32.1031,29.9847,14.8557,1.3194,5.8367,11.3996,8.718399999999999,11.4095,12.174299999999999,10.616,7.6066,1.9091999999999998,3.2952000000000004,-1.0,-1.0,-1.0,19.655099999999997,13.398800000000001,-1.0,10.3814,5.4138,11.9469,2.9208999999999996,31.3833,16.7758,6.0594,13.384999999999998,-1.0,9.2132,40.2088,22.7434,30.862500000000004,5.616,12.306199999999999,24.6508,-1.0,-1.0,33.042,16.496000000000002,33.330799999999996,-1.0,-1.0,-1.0
Desk/2,30.6392,7.215,20.626600000000003,10.6814,-1.0,-1.0,-1.0,-1.0,19.3687,27.163899999999998,20.7471,11.8888,17.9894,5.8723,15.406799999999999,7.795,8.9389,11.8368,21.7826,4.6589,-1.0,6.4052,-1.0,13.1669,19.655099999999997,-1.0,6.6156,7.5671,8.9485,-1.0,14.319700000000001,6.2706,33.5379,20.2198,14.7124,11.461400000000001,-1.0,5.9622,41.973800000000004,23.2699,14.028299999999998,5.0854,0.8648,5.3458000000000006,-1.0,-1.0,34.4745,7.7538,22.801099999999998,-1.0,-1.0,-1.0
Desk/3,52.441500000000005,15.0202,29.310499999999998,20.531299999999998,-1.0,-1.0,-1.0,-1.0,28.717800000000004,56.43090000000001,47.308200000000014,11.922699999999999,3.3703,7.48,9.9823,3.8045999999999998,13.349499999999999,16.5449,21.456100000000003,9.5476,6.773,5.1518,-1.0,6.6111,13.398800000000001,6.6156,-1.0,10.2004,16.7325,7.5421000000000005,3.0305,14.987,32.420300000000005,28.052799999999998,15.1481,11.975200000000001,6.5905000000000005,15.745800000000001,57.295300000000005,33.8371,16.8779,9.1976,1.8439,16.2759,-1.0,-1.0,42.7394,16.043599999999998,37.5291,-1.0,-1.0,-1.0
Desk/4,26.6599,22.799099999999996,19.0578,8.1641,-1.0,-1.0,-1.0,-1.0,13.4719,24.8943,27.0254,16.7771,13.026,11.265500000000001,16.4573,6.2327,1.1122,2.8189,-0.4033,4.0372,6.9569,4.462899999999999,-1.0,14.6973,-1.0,7.5671,10.2004,-1.0,8.3905,4.9801,14.8804,13.1847,13.2059,27.7623,16.3846,3.6961000000000004,3.16,7.647500000000001,35.068400000000004,38.4749,29.6835,9.140900000000002,-0.07720000000000005,15.131400000000001,-1.0,-1.0,38.278,14.5806,18.805,-1.0,-1.0,-1.0
Desk/5,22.311000000000003,21.6207,20.6022,20.1285,-1.0,-1.0,-1.0,-1.0,23.387,31.027899999999995,17.118600000000004,20.385199999999998,20.041800000000002,5.5883,8.6752,5.5088,5.2601,9.017999999999999,1.1263,7.584800000000001,1.2997,10.7114,-1.0,5.1446,10.3814,8.9485,16.7325,8.3905,-1.0,-1.0,13.7546,11.926400000000001,38.4503,29.1697,17.554399999999998,16.831200000000003,3.5147000000000004,14.149000000000001,27.8934,19.6823,18.5575,18.5985,7.3378000000000005,16.4048,-1.0,-1.0,44.5951,5.5321,17.339399999999998,-1.0,-1.0,-1.0
Desk/6,8.8313,-1.0,6.6609,8.078299999999999,-1.0,-1.0,-1.0,-1.0,7.9025,7.7069,14.5714,4.8416,2.3847,-1.0,-1.0,-1.0,4.9887,5.5466,-0.41679999999999995,-0.08040000000000003,-1.0,7.5656,-1.0,4.665,5.4138,-1.0,7.5421000000000005,4.9801,-1.0,-1.0,4.6869,-1.0,8.5368,2.5095,-1.0,4.8525,-1.0,2.4131,9.676300000000001,11.698500000000001,6.0781,8.092,1.2326000000000001,5.9642,-1.0,-1.0,12.9162,2.4288,10.1873,-1.0,-1.0,-1.0
FlowerPot/0,11.9027,13.313699999999999,20.1615,8.2157,-1.0,-1.0,-1.0,-1.0,10.6274,15.8414,17.1247,17.491500000000002,14.2487,7.3719,10.3253,2.8666,17.8681,25.1046,7.7077,-1.0,-1.0,13.7182,-1.0,9.6367,11.9469,14.319700000000001,3.0305,14.8804,13.7546,4.6869,-1.0,9.2856,10.2617,31.4364,14.1786,24.292700000000004,-1.0,7.1450000000000005,18.076,18.2306,15.110600000000002,15.742500000000001,-1.0,11.3417,-1.0,-1.0,25.284100000000002,-0.28600000000000003,24.7394,-1.0,-1.0,-1.0
