,Bed/Yellow,Bed/Blue,Bed/Green,Bed/White,Bed/Red,Bed/Brown,BookShelf/0,BookShelf/1,BookShelf/2,BookShelf/3,BookShelf/4,BookShelf/5,BookShelf/6,BookShelf/7,BookShelf/8,BookShelf/9,Chair/Yellow,Chair/Blue,Chair/Green,Chair/White,Chair/Red,Chair/Brown,Chair/None,Desk/0,Desk/1,Desk/2,Desk/3,Desk/4,Desk/5,Desk/6,FlowerPot/0,FlowerPot/1,FlowerPot/2,FlowerPot/3,PhotoFrame/0,PhotoFrame/1,PhotoFrame/2,PhotoFrame/3,PhotoFrame/4,PhotoFrame/5,Sofa/Yellow,Sofa/Blue,Sofa/Green,Sofa/White,Sofa/Red,Sofa/Brown,Stand/Yellow,Stand/Blue,Stand/Green,Stand/White,Stand/Red,Stand/Brown
Sofa/Blue,25.278200000000002,34.3321,26.278499999999998,22.9599,-1.0,-1.0,-1.0,-1.0,19.7115,31.887300000000003,33.2286,12.425900000000002,18.2161,1.5821999999999998,9.1518,4.8627,19.9979,30.522400000000005,13.1045,4.2115,-1.0,17.146800000000002,-1.0,10.4111,5.616,5.0854,9.1976,9.140900000000002,18.5985,8.092,15.742500000000001,12.681000000000001,32.4489,37.7147,22.1004,23.6163,-1.0,17.816000000000003,31.3033,23.4377,17.3273,-1.0,-1.0,12.0223,-1.0,-1.0,43.2166,8.0466,31.68,-1.0,-1.0,-1.0
Sofa/Green,18.7711,5.5465,10.2739,8.4043,-1.0,-1.0,-1.0,-1.0,19.3764,19.6863,12.7743,7.9556000000000004,6.8161000000000005,3.3022,3.6903,9.4754,1.0503999999999998,6.1136,6.3849,9.7026,7.2928999999999995,5.954,-1.0,-1.0,12.306199999999999,0.8648,1.8439,-0.07720000000000005,7.3378000000000005,1.2326000000000001,-1.0,2.1317,23.630799999999997,20.666199999999996,10.745899999999999,2.5557,-1.0,7.9616,20.7947,15.808499999999999,3.5685000000000002,-1.0,-1.0,7.2849,-1.0,-1.0,27.1448,17.0997,9.779399999999999,-1.0,-1.0,-1.0
Sofa/White,66.4638,31.662600000000005,39.4648,17.8763,-1.0,-1.0,-1.0,-1.0,26.4711,60.9426,55.13199999999999,24.043800000000005,18.407,14.6374,17.5818,12.102,21.5913,24.567600000000002,34.134800000000006,11.1546,8.5161,3.9409,-1.0,8.02,24.6508,5.3458000000000006,16.2759,15.131400000000001,16.4048,5.9642,11.3417,15.4927,43.661,47.09119999999999,36.1107,18.1678,1.5464000000000002,16.0231,63.6795,30.0813,15.1008,12.0223,7.2849,-1.0,-1.0,-1.0,58.44859999999999,28.9981,46.427299999999995,-1.0,-1.0,-1.0
Sofa/Red,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Sofa/Brown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Stand/Yellow,57.8891,52.49,42.0793,25.5361,-1.0,-1.0,-1.0,-1.0,51.775299999999994,88.64090000000002,74.71009999999998,57.2459,47.758599999999994,24.5909,34.88440000000001,28.5641,39.4487,43.255100000000006,39.4085,16.025199999999998,19.560499999999998,38.6462,-1.0,28.236,33.042,34.4745,42.7394,38.278,44.5951,12.9162,25.284100000000002,19.988699999999998,57.699,66.30959999999999,41.18620000000001,36.7339,7.9497,35.0653,81.88020000000002,52.163000000000004,40.6496,43.2166,27.1448,58.44859999999999,-1.0,-1.0,-1.0,35.4683,74.0766,-1.0,-1.0,-1.0
Stand/Blue,22.232999999999997,6.1203,12.945,5.321400000000001,-1.0,-1.0,-1.0,-1.0,16.1978,33.6415,33.5158,14.2232,13.2065,-1.0,21.6295,2.7049,2.1935,-1.0,14.1459,11.543,13.4778,12.3412,-1.0,10.56,16.496000000000002,7.7538,16.043599999999998,14.5806,5.5321,2.4288,-0.28600000000000003,11.619499999999999,16.2322,10.2896,16.8309,-1.0,2.3789,10.0807,28.3697,18.948999999999998,11.352,8.0466,17.0997,28.9981,-1.0,-1.0,35.4683,-1.0,20.881,-1.0,-1.0,-1.0
Stand/Green,48.224599999999995,19.5425,37.772,34.7722,-1.0,-1.0,-1.0,-1.0,40.2639,69.35929999999999,62.82530000000001,23.188,21.7313,14.2774,22.4166,13.268999999999998,29.799799999999998,25.1454,30.898599999999995,22.418200000000002,10.5069,13.3904,-1.0,12.468699999999998,33.330799999999996,22.801099999999998,37.5291,18.805,17.339399999999998,10.1873,24.7394,12.490099999999998,67.4818,44.533100000000005,17.2832,9.9047,-1.0,14.770199999999999,78.3137,51.23009999999999,57.49230000000001,31.68,9.779399999999999,46.427299999999995,-1.0,-1.0,74.0766,20.881,-1.0,-1.0,-1.0,-1.0
Stand/White,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Stand/Red,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Stand/Brown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
