Bed/Yellow,Bed/Blue,Bed/Green,Bed/White,Bed/Red,Bed/Brown,BookShelf/0,BookShelf/1,BookShelf/2,BookShelf/3,BookShelf/4,BookShelf/5,BookShelf/6,BookShelf/7,BookShelf/8,BookShelf/9,Chair/Yellow,Chair/Blue,Chair/Green,Chair/White,Chair/Red,Chair/Brown,Chair/None,Desk/0,Desk/1,Desk/2,Desk/3,Desk/4,Desk/5,Desk/6,FlowerPot/0,FlowerPot/1,FlowerPot/2,FlowerPot/3,PhotoFrame/0,PhotoFrame/1,PhotoFrame/2,PhotoFrame/3,PhotoFrame/4,PhotoFrame/5,Sofa/Yellow,Sofa/Blue,Sofa/Green,Sofa/White,Sofa/Red,Sofa/Brown,Stand/Yellow,Stand/Blue,Stand/Green,Stand/White,Stand/Red,Stand/Brown
-3.79157043/2.8704958,-1,2.99190044/-0.4617355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.414710522/0.8919837,-1.14363647/1.5911572,-1,-1,-1,-1,-1,-1,-1,-1,2.87289286/1.75479341,-1,-1,-1.17338872/0.9663635,-1,-1,-1,-1,-1,3.83983541/3.98619819,-1,-1,-3.49405026/3.95644617,-1,-1,3.780331/1.78454566,-1,2.82826471/2.49859524,-1,-1,-1,-1,3.48281/2.94487619,-1,-1,-1
-1,3.83983541/-0.5807438,-0.8907442/0.07380156,-1,-1,-1,-1,-1,-1,-4.356859/2.915124,-3.70231414/3.06388426,-1,-1,-1,-2.97338843/3.04900813,-1,-1,-1,-2.765124/1.96305788,-1,-1,-1,-1,-1,-3.55355382/1.96305788,3.06628132/1.93330574,-1,-1,-1,-1,-1,-1,-0.608099/0.7580991,-1,-3.330413/4.04570246,-1,-1,-1,3.81008267/4.01595,-1,4.033224/2.022562,-1,-1,3.00677681/2.67710757,-1,-1,3.21504164/-0.0154545754,0.0/0.0,-4.118843/1.27876043,-1,-1,-1
-1.48578548/-0.208842918,-1,2.81338835/-0.863388538,-1,-1,-1,-1,-1,4.43/1.38289285,-4.43/1.18950391,4.28611565/3.17,-1,-1,3.73570275/3.17,-1,-4.163471/3.17,-1,-2.08082676/1.8291738,-3.00314069/2.453967,-1,-1,-1,-1,-1,-2.98826432/1.93330574,-1,0.462975264/1.87380147,-1,-1,-1,-1,-1,3.98859477/-0.87,-1,-1,-3.25603366/4.03082657,-1,-1,-1,3.54231453/3.94157,1.60842991/2.15644622,-1,-0.384958982/1.93330574,0.3885951/2.6919837,-1,-1,3.40843/-0.342727244,-1,-0.950248/0.192809835,-1,-1,-1
3.85471058/-0.595619857,-1,-0.414710522/3.17,-1,-1,-1,-1,-1,-1,-1,-3.70231414/3.17,-3.10727334/3.17,-1,-1,-1,-1,-2.55685925/1.13000023,-3.31553769/1.87380147,-1,-1,-1,-1,-1,0.135702252/-0.193966851,-1,-1,-1,-3.330413/1.219256,-1,2.60512352/1.94818187,3.229917/0.23743777,-1,-1,3.52743816/2.81099153,-1,-1,-1,-1,3.75057817/4.0903306,0.0/3.8,3.72082663/1.93330574,0.0/0.0,-1,0.2844627/0.609338939,-1,-1,4.033224/0.356446326,-1,-1.292397/3.17,-1,-1,-1
0.0/0.0,0.0/0.0,0.0/0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0/0.0,0.0/0.0,0.0/0.0,-1,0.0/0.0,0.0/0.0,-1,-1,-1,-1,0.0/0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0/0.0,-1,-1,-1,-1,-1,-1,-1,0.0/0.0,-1,-1,-1
-1,3.616694/-0.789008141,-0.2510743/2.67710757,-1,-1,-1,-1,-1,-4.43/-0.3576033,-4.118843/0.118429765,-1,-1,1.72743821/3.17,-1,3.67619848/2.587851,-4.17834663/3.17,-1,-1,2.87289286/2.36471057,-1,-1,3.5571897/1.75479341,-1,-1.75355363/0.356446326,-1,-1,-1,2.917521/1.76966953,-1,-1,-0.8312397/1.23413217,-1,-1,3.34892583/0.1035537,4.092727/3.9118185,-1,-1,-1,-1,-4.193223/3.85231423,-3.0626452/2.84074378,-1.827934/1.1002481,-1,-1,-1,-1,0.448099017/3.17,-1,4.10760355/-0.104710713,-1,-1,-1
0.00181806087/3.17,-1,-1,-1,-1,-1,-1,-1,-3.77669454/0.8027273,-4.356859/0.505206466,-1,1.17702484/3.17,4.43/1.15975177,-1,-1,-1,-1,-1,-1,-1,3.40843/2.94487619,-1,-1,-1,-1,-1,2.26297569/-0.193966851,-1,3.36380219/2.21595049,-1,-1,2.44148779/2.85562,-1,-2.79487586/3.17,-3.43454576/4.0903306,-1,-1,-1,3.824959/4.03082657,-1,-1,-1,3.21504164/-0.179090783,4.300992/2.23082662,-1,-1,-3.41966939/3.019256,-0.7271073/3.17,-1,-1,-1,-1
-1,-3.76181817/2.7961154,-1,-0.875867844/2.82586765,-1,-1,-1,-1,-1,-1,1.83157063/3.06388426,-1,-1,-1,0.165454388/0.743223,-4.43/-0.223718986,-1,-1,4.137355/2.08206582,2.42661142/2.022562,-1,-1,-1,-1,3.229917/2.126694,1.02826452/-0.07495858,-1,-1,-1,-1,-1,-1,-4.43/3.17,-1.47090912/3.17,-1,-1,-1,-1,-0.102314353/3.95644617,-2.79487586/3.971322,-1,-1,2.06958723/-0.179090783,-0.0130577087/-0.134462848,-1,-1,4.092727/2.73661184,-2.94363618/3.17,-1,-1,-1,-1
-1.30727291/2.84074378,-1,3.5125618/2.93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.47454536/2.21595049,0.537355542/3.07876015,-1,-1,-1,-1,-1,-0.518842936/0.118429765,2.64975262/0.118429765,-3.46429753/1.93330574,-1,0.6266116/2.39446282,-1,-4.29735565/3.034132,-0.637851238/0.341570258,-1,3.48281/-0.774132133,-3.61305785/4.00107431,-1,-1,-1,3.6464467/4.00107431,-1,-1,-1.53041339/0.0291736275,-1,3.5125618/0.0589254946,-1,-1,2.97702527/0.653967142,-1,2.82826471/3.17,-1,-1,-1
3.48281/2.8704958,2.322479/-0.744380236,-1,-3.83619857/2.7961154,-1,-1,-1,-1,-1,4.3902483/3.1085124,-1.396529/3.17,-1,4.28611565/0.47545433,4.43/-0.0898346454,-1,-1,-1,-1,-1,-1,-1,1.29603314/2.67710757,-1,-1,-1,-1,-1,1.310909/1.91842961,-0.8907442/0.624215,-1,-1,-1,-2.88413262/2.57297516,-1,-1,-1,-1,-1,3.49768639/4.04570246,-3.94033027/4.01595,0.165454388/0.520082533,-1,-1,-0.7122314/1.39776838,-1,-1,-2.94363618/3.12338853,-1,-1,-1,-1,-1
